source_company_id,target_company_id,relationship_type,strength,details
1,2,Partner,0.8,Joint venture in agritech AI
2,1,Partner,0.8,Joint venture in agritech AI
1,3,Customer,0.6,Innovatech uses Nexus Corp for hardware shipping
3,1,Vendor,0.6,Nexus Corp provides logistics to Innovatech
1,4,Investor,0.9,FinanceHub Delta invested in Innovatech's Series B
4,1,Investee,0.9,Innovatech is an investee of FinanceHub Delta
1,5,Competitor,0.5,Both compete in certain AI diagnostic algorithms
5,1,Competitor,0.5,Both compete in certain AI diagnostic algorithms
2,3,Vendor,0.4,EcoGrow uses Nexus for produce distribution
3,2,Customer,0.4,Nexus distributes for EcoGrow